row_id,model_score,A_score,B_score,C_score,D_score,is_overlap_item,,,,,,,
3501,100,6,6,6,6,Yes,,,,,,,
3611,100,6,6,6,6,Yes,,,,,,,
9641,20,4,5,4,2,Yes,,,,,,,
10282,100,6,6,5,5,Yes,,,,,,,
4666,100,6,6,6,6,Yes,,,,,,,
3265,100,6,6,5,5,Yes,,,,,,,
3523,98,6,6,6,6,Yes,,,,,,,
5152,100,6,6,6,6,Yes,,,,,,,
9239,100,6,6,6,6,Yes,,,,,,,
1417,97,6,6,6,6,Yes,,,,,,,
8221,95,6,6,5,6,Yes,,,,,,,
1685,100,6,6,6,6,Yes,,,,,,,
3520,90,6,6,5,4,Yes,,,,,,,
4474,100,6,6,6,6,Yes,,,,,,,
5095,100,6,6,6,6,Yes,,,,,,,
10167,100,6,6,6,6,Yes,,,,,,,
4787,35,4,4,1,1,Yes,,,,,,,
10436,100,6,6,5,6,Yes,,,,,,,
9797,100,6,6,6,6,Yes,,,,,,,
10570,100,6,6,4,6,Yes,,,,,,,
9123,100,6,,,,No,,,,,,,
247,100,6,,,,No,,,,,,,
6449,55,5,,,,No,,,,,,,
6090,100,6,,,,No,,,,,,,
6060,80,6,,,,No,,,,,,,
1064,98,6,,,,No,,,,,,,
3442,100,6,,,,No,,,,,,,
7943,100,6,,,,No,,,,,,,
1228,100,6,,,,No,,,,,,,
57,100,6,,,,No,,,,,,,
9648,25,5,,,,No,,,,,,,
5444,100,6,,,,No,,,,,,,
9039,100,6,,,,No,,,,,,,
2593,100,6,,,,No,,,,,,,
8052,55,4,,,,No,,,,,,,
6888,95,6,,,,No,,,,,,,
2056,100,6,,,,No,,,,,,,
1452,50,5,,,,No,,,,,,,
7998,100,6,,,,No,,,,,,,
1878,100,6,,,,No,,,,,,,
3718,100,6,,,,No,,,,,,,
395,100,6,,,,No,,,,,,,
306,100,6,,,,No,,,,,,,
8910,100,6,,,,No,,,,,,,
7808,100,6,,,,No,,,,,,,
3779,45,4,,,,No,,,,,,,
2166,100,6,,,,No,,,,,,,
8573,100,6,,,,No,,,,,,,
9135,100,6,,,,No,,,,,,,
7813,98,5,,,,No,,,,,,,
2509,100,6,,,,No,,,,,,,
3831,40,4,,,,No,,,,,,,
7996,100,6,,,,No,,,,,,,
8453,40,,4,,,No,,,,,,,
10632,,,6,,,No,,,,,,,
2155,,,6,,,No,,,,,,,
1081,65,,5.6,,,No,,,,,,,
6115,100,,6,,,No,,,,,,,
7175,100,,6,,,No,,,,,,,
9311,100,,6,,,No,,,,,,,
4426,100,,6,,,No,,,,,,,
8003,25,,5,,,No,,,,,,,
9117,50,,4,,,No,,,,,,,
8982,25,,6,,,No,,,,,,,
4947,100,,6,,,No,,,,,,,
10306,100,,6,,,No,,,,,,,
10411,100,,6,,,No,,,,,,,
4376,40,,3.6,,,No,,,,,,,
8078,75,,6,,,No,,,,,,,
427,100,,6,,,No,,,,,,,
985,98,,6,,,No,,,,,,,
x,100,,6,,,No,,,,,,,
2074,95,,6,,,No,,,,,,,
9212,25,,4.6,,,No,,,,,,,
398,100,,6,,,No,,,,,,,
7234,100,,6,,,No,,,,,,,
10184,100,,6,,,No,,,,,,,
2367,100,,6,,,No,,,,,,,
5034,50,,5,,,No,,,,,,,
10335,100,,6,,,No,,,,,,,
839,98,,6,,,No,,,,,,,
7601,100,,6,,,No,,,,,,,
3820,100,,6,,,No,,,,,,,
4675,20,,6,,,No,,,,,,,
1338,100,,6,,,No,,,,,,,
2660,100,,6,,,No,,,,,,,
5732,100,,,6,,No,,,,,,,
5395,100,,,6,,No,,,,,,,
1731,100,,,6,,No,,,,,,,
6502,100,,,6,,No,,,,,,,
5945,10,,,6,,No,,,,,,,
5427,100,,,5,,No,,,,,,,
1810,100,,,4,,No,,,,,,,
8113,100,,,6,,No,,,,,,,
9114,45,,,3,,No,,,,,,,
3808,98,,,6,,No,,,,,,,
5845,100,,,6,,No,,,,,,,
10445,100,,,6,,No,,,,,,,
8428,40,,,3,,No,,,,,,,
1294,85,,,5,,No,,,,,,,
2786,100,,,6,,No,,,,,,,
2328,100,,,6,,No,,,,,,,
3529,100,,,6,,No,,,,,,,
17,98,,,6,,No,,,,,,,
2200,100,,,6,,No,,,,,,,
6458,100,,,6,,No,,,,,,,
2775,99,,,5,,No,,,,,,,
5731,25,,,3,,No,,,,,,,
2036,100,,,6,,No,,,,,,,
740,95,,,6,,No,,,,,,,
6456,100,,,6,,No,,,,,,,
9461,95,,,4,,No,,,,,,,
7214,95,,,5,,No,,,,,,,
838,100,,,5,,No,,,,,,,
6325,100,,,6,,No,,,,,,,
8225,100,,,6,,No,,,,,,,
4107,100,,,6,,No,,,,,,,
7686,100,,,6,,No,,,,,,,
5197,100,,,,6,No,,,,,,,
5052,100,,,,5,No,,,,,,,
2159,100,,,,6,No,,,,,,,
10080,100,,,,6,No,,,,,,,
1345,93,,,,6,No,,,,,,,
2953,100,,,,6,No,,,,,,,
4619,100,,,,6,No,,,,,,,
10235,100,,,,6,No,,,,,,,
2234,98,,,,5,No,,,,,,,
6602,100,,,,6,No,,,,,,,
2993,100,,,,6,No,,,,,,,
4706,100,,,,6,No,,,,,,,
